"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"obis",-82.9416,24.6587333,20.7,"Pomacanthus paru"
"obis",-67.01861,17.93498,3.05,"Pomacanthus paru"
"obis",-80.3548833,25.0308667,10.7,"Pomacanthus paru"
"obis",-82.97634,24.57244,19.4,"Pomacanthus paru"
"obis",-80.3861499,25.032,3.7,"Pomacanthus paru"
"obis",-80.3374999,25.0429167,22.9,"Pomacanthus paru"
"obis",-80.5791166,24.8696,12.5,"Pomacanthus paru"
"obis",-81.72115,24.47775,14.3,"Pomacanthus paru"
"obis",-83.021767,24.698617,25.8,"Pomacanthus paru"
"obis",-81.77235,24.468067,21.6,"Pomacanthus paru"
"obis",-65.00158,18.20217,39,"Pomacanthus paru"
"obis",-80.56291,24.90768,6.7,"Pomacanthus paru"
"obis",-80.94629,24.67422,20.6,"Pomacanthus paru"
"obis",-74.1286111,11.3298611,10,"Pomacanthus paru"
"obis",-83.059933,24.60055,15.5,"Pomacanthus paru"
"obis",-81.18395,24.613,16,"Pomacanthus paru"
"obis",-80.1391832,25.3744167,7.9,"Pomacanthus paru"
"obis",-82.96305,24.610633,14,"Pomacanthus paru"
"obis",-80.29225,25.0986167,20.4,"Pomacanthus paru"
"obis",-81.3885333,24.5669167,7,"Pomacanthus paru"
"obis",-82.92964,24.66704,19.4,"Pomacanthus paru"
"obis",-80.7565,24.7655,5.6,"Pomacanthus paru"
"obis",-80.121267,25.431367,12.7,"Pomacanthus paru"
